 variables = "x", "y"
 ZONE t="Boundary.2" I =         162 , DATAPACKING=POINT
  -4.6377497702497248        8.9063385662617698     
  -4.9806633085060756        8.7198214640295344     
  -5.3160302407671569        8.5200825122333299     
  -5.6433398665817665        8.3074258847086213     
  -5.9620937550829245        8.0821754273900481     
  -6.2718065039711854        7.8446741651178176     
  -6.5720064786579488        7.5952837792330836     
  -6.8622365304471842        7.3343840567605056     
  -7.1420546926601443        7.0623723120161639     
  -7.4110348536418789        6.7796627815200869     
  -7.6687674056295059        6.4866859931378595     
  -7.9148598684889979        6.1838881104104839     
  -8.1489374873738196        5.8717302530718385     
  -8.3706438033947759        5.5506877947880424     
  -8.5796411964319095        5.2212496391905727     
  -8.7756113992625977        4.8839174753025070     
  -8.9582559822218570        4.5392050134952617     
  -9.1272968076577889        4.1876372031380669     
  -9.2824764534897710        3.8297494331320565     
  -9.4235586052243665        3.4660867165465068     
  -9.5503284158324355        3.0972028606006603     
  -9.6625928329380297        2.7236596232528623     
  -9.7601808928224774        2.3460258576842263     
  -9.8429439807948906        1.9648766459789964     
  -9.9107560575322786        1.5807924233196953     
  -9.9635138510449099        1.1943580940339877     
  -10.001137013974677       0.80616214083691995     
  -10.023568245985661       0.41679572862746717     
  -10.030773381061593        2.6851804202120078E-002
  -10.022741439576146      -0.36307580674036966     
  -9.9994846450574943      -0.75239330393258996     
  -9.9610384056192256       -1.1405078168247667     
  -9.9074612600892262       -1.5268283074573592     
  -9.8388347889141734       -1.9107664705346472     
  -9.7552634899785424       -2.2917376293355658     
  -9.6568746195242916       -2.6691616260933362     
  -9.5438179984152924       -3.0424637054910209     
  -9.4162657840393873       -3.4110753899237753     
  -9.2744122081961358       -3.7744353451982535     
  -9.1184732813698695       -4.1319902353499964     
  -8.9486864638351928       -4.4831955652745084     
  -8.7653103040988647       -4.8275165098933979     
  -8.5686240452267413       -5.1644287285884607     
  -8.3589271996538521       -5.4934191636675429     
  -8.1365390931275066       -5.8139868216422563     
  -7.9017983784751360       -6.1256435361314949     
  -7.6550625199375055       -6.4279147112277766     
  -7.3967072488547085       -6.7203400441925618     
  -7.1271259915292351       -7.0024742263852913     
  -6.8467292701415809       -7.2738876213526371     
  -6.5559440776265996       -7.5341669190504073     
  -6.2552132274659158       -7.7829157652004453     
  -5.9449946793827779       -8.0197553648230855     
  -5.6257608419698171       -8.2443250590291672     
  -5.2979978533073915       -8.4562828741908653     
  -4.9622048406720332       -8.6553060426570525     
  -4.6188931604587768       -8.8410914942200662     
  -4.2685856194772933       -9.0133563175849734     
  -3.9118156788054841       -9.1718381911405000     
  -3.5491266414149893       -9.3162957823750663     
  -3.1810708248040571       -9.4465091153293006     
  -2.8082087198983494       -9.5622799055279142     
  -2.4311081375011332       -9.6634318618785873     
  -2.0503433435913387       -9.7498109550810828     
  -1.6664941847883521       -9.8212856521356766     
  -1.2801452053135858       -9.8777471165965558     
 -0.89188475679440249       -9.9191093742633853     
 -0.50230410226704625       -9.9453094440607721     
 -0.11199651574154279       -9.9563074339048896     
  0.27844362129806816       -9.9520866014138445     
  0.66842172508415165       -9.9326533793665011     
   1.0573439150661765       -9.8980373658746128     
   1.4446179183422236       -9.8482912792808239     
   1.8296539716460036       -9.7834908778525165     
   2.2118657195128710       -9.7037348443940612     
   2.5906711072582063       -9.6091446359529016     
   2.9654932674072789       -9.4998642988489568     
   3.3357613982276129       -9.3760602493080878     
   3.7009116330232765       -9.2379210200352269     
   4.0603878988690303       -9.0856569731124477     
   4.4136427634764717       -8.9194999796576475     
   4.7601382688993725       -8.7397030667354603     
   5.0993467508116979       -8.5465400320534286     
   5.4307516421082855       -8.3403050270337520     
   5.7538482596042710       -8.1213121088932922     
   6.0681445726358332       -7.8898947624146061     
   6.3731619523900971       -7.6464053921365549     
   6.6684359008242593       -7.3912147857361710     
   6.9535167580623325       -7.1247115494203115     
   7.2279703871930066       -6.8473015161850981     
   7.4913788354245003       -6.5594071278462494     
   7.7433409705905083       -6.2614667917776181     
   7.9834730920366948       -5.9539342133420963     
   8.2114095149577899       -5.6372777050250225     
   8.4268031272956492       -5.3119794733279244     
   8.6293259183487141       -4.9785348845038477     
   8.8186694782893884       -4.6374517102537007     
   8.9945454678283010       -4.2892493545332293     
   9.1566860573083328       -3.9344580626440435     
   9.3048443345625849       -3.5736181138170853     
   9.4387946809134746       -3.2072789985145773     
   9.5583331147400177       -2.8359985817040645     
   9.6632776020915667       -2.4603422533784731     
   9.7534683338751389       -2.0808820676158670     
   9.8287679691915830       -1.6981958714874386     
